,Pos,P+,Artist,Title,Wks,Pk,(x?),Streams,Streams+,Total
100,101,-35,Jung Kook ,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],8,14,(x4),8811758,-1112807.0,113705243
101,102,+10,Ed Sheeran ,Perfect,304,4,(x4),8805076,316633.0,2245579816
102,103,-5,Coldplay ,Viva La Vida,24,98,(x4),8777245,40595.0,160851606
103,104,+17,INTERWORLD ,METAMORPHOSIS,4,104,(x4),8751125,556011.0,32525196
104,105,-19,Wisin & Yandel ,Besos Moja2,15,64,(x4),8714198,-313835.0,140391842
105,106,+22,Cigarettes After Sex ,Apocalypse,27,89,(x4),8710145,663411.0,208003590
106,107,-20,Rauw Alejandro ,PUNTO 40,14,48,(x4),8657759,-366979.0,149280840
107,108,+9,Eminem ,Superman,15,108,(x4),8645536,338736.0,116426348
108,109,+10,Sia ,Unstoppable,50,107,(x4),8640523,436743.0,335484681
109,110,-40,MC MENOR HR ,Evoque Prata,9,69,(x4),8616547,-1162949.0,86821198
110,111,-9,Post Malone ,I Like You (A Happier Song),32,10,(x4),8608343,5658.0,406015864
111,112,-32,Israel & Rodolffo ,Bombonzinho,9,80,(x4),8593621,-573318.0,73829711
